Freq.,abs(V(vout)/V(vs))
1.06776400955868e+000,-2.32309941682173e+001
1.06808228342606e+000,-2.32280232779079e+001
1.06840065216296e+000,-2.32250525941897e+001
1.06871911579764e+000,-2.32220821169845e+001
1.06903767435842e+000,-2.32191118462141e+001
1.06935632787356e+000,-2.32161417818002e+001
1.06967507637139e+000,-2.32131719236646e+001
1.06999391988020e+000,-2.32102022717291e+001
1.07031285842833e+000,-2.32072328259156e+001
1.07063189204410e+000,-2.32042635861458e+001
1.07095102075585e+000,-2.32012945523417e+001
1.07127024459192e+000,-2.31983257244251e+001
1.07158956358067e+000,-2.31953571023180e+001
1.07190897775046e+000,-2.31923886859422e+001
1.07222848712966e+000,-2.31894204752197e+001
1.07254809174665e+000,-2.31864524700724e+001
1.07286779162983e+000,-2.31834846704224e+001
1.07318758680757e+000,-2.31805170761916e+001
1.07350747730830e+000,-2.31775496873020e+001
1.07382746316042e+000,-2.31745825036757e+001
1.07414754439236e+000,-2.31716155252347e+001
1.07446772103255e+000,-2.31686487519011e+001
1.07478799310942e+000,-2.31656821835969e+001
1.07510836065142e+000,-2.31627158202444e+001
1.07542882368701e+000,-2.31597496617655e+001
1.07574938224465e+000,-2.31567837080825e+001
1.07607003635282e+000,-2.31538179591175e+001
1.07639078603999e+000,-2.31508524147927e+001
1.07671163133466e+000,-2.31478870750303e+001
1.07703257226532e+000,-2.31449219397525e+001
1.07735360886049e+000,-2.31419570088816e+001
1.07767474114867e+000,-2.31389922823397e+001
1.07799596915839e+000,-2.31360277600493e+001
1.07831729291819e+000,-2.31330634419326e+001
1.07863871245659e+000,-2.31300993279118e+001
1.07896022780216e+000,-2.31271354179094e+001
1.07928183898345e+000,-2.31241717118477e+001
1.07960354602903e+000,-2.31212082096491e+001
1.07992534896746e+000,-2.31182449112359e+001
1.08024724782734e+000,-2.31152818165306e+001
1.08056924263726e+000,-2.31123189254555e+001
1.08089133342581e+000,-2.31093562379332e+001
1.08121352022160e+000,-2.31063937538861e+001
1.08153580305326e+000,-2.31034314732367e+001
1.08185818194941e+000,-2.31004693959075e+001
1.08218065693868e+000,-2.30975075218211e+001
1.08250322804972e+000,-2.30945458508999e+001
1.08282589531117e+000,-2.30915843830665e+001
1.08314865875170e+000,-2.30886231182435e+001
1.08347151839997e+000,-2.30856620563536e+001
1.08379447428467e+000,-2.30827011973193e+001
1.08411752643448e+000,-2.30797405410633e+001
1.08444067487809e+000,-2.30767800875082e+001
1.08476391964421e+000,-2.30738198365768e+001
1.08508726076154e+000,-2.30708597881916e+001
1.08541069825881e+000,-2.30678999422755e+001
1.08573423216475e+000,-2.30649402987512e+001
1.08605786250809e+000,-2.30619808575414e+001
1.08638158931757e+000,-2.30590216185689e+001
1.08670541262196e+000,-2.30560625817565e+001
1.08702933245001e+000,-2.30531037470270e+001
1.08735334883050e+000,-2.30501451143032e+001
1.08767746179221e+000,-2.30471866835081e+001
1.08800167136392e+000,-2.30442284545644e+001
1.08832597757443e+000,-2.30412704273951e+001
1.08865038045255e+000,-2.30383126019231e+001
1.08897488002709e+000,-2.30353549780713e+001
1.08929947632687e+000,-2.30323975557627e+001
1.08962416938073e+000,-2.30294403349201e+001
1.08994895921751e+000,-2.30264833154667e+001
1.09027384586605e+000,-2.30235264973255e+001
1.09059882935521e+000,-2.30205698804194e+001
1.09092390971386e+000,-2.30176134646715e+001
1.09124908697087e+000,-2.30146572500049e+001
1.09157436115512e+000,-2.30117012363426e+001
1.09189973229551e+000,-2.30087454236079e+001
1.09222520042094e+000,-2.30057898117237e+001
1.09255076556031e+000,-2.30028344006133e+001
1.09287642774254e+000,-2.29998791901998e+001
1.09320218699656e+000,-2.29969241804064e+001
1.09352804335131e+000,-2.29939693711563e+001
1.09385399683572e+000,-2.29910147623728e+001
1.09418004747875e+000,-2.29880603539790e+001
1.09450619530936e+000,-2.29851061458983e+001
1.09483244035652e+000,-2.29821521380539e+001
1.09515878264920e+000,-2.29791983303692e+001
1.09548522221640e+000,-2.29762447227674e+001
1.09581175908710e+000,-2.29732913151719e+001
1.09613839329032e+000,-2.29703381075062e+001
1.09646512485506e+000,-2.29673850996934e+001
1.09679195381035e+000,-2.29644322916572e+001
1.09711888018520e+000,-2.29614796833208e+001
1.09744590400868e+000,-2.29585272746078e+001
1.09777302530981e+000,-2.29555750654415e+001
1.09810024411766e+000,-2.29526230557456e+001
1.09842756046128e+000,-2.29496712454434e+001
1.09875497436976e+000,-2.29467196344586e+001
1.09908248587218e+000,-2.29437682227146e+001
1.09941009499762e+000,-2.29408170101351e+001
1.09973780177518e+000,-2.29378659966435e+001
1.10006560623398e+000,-2.29349151821636e+001
1.10039350840312e+000,-2.29319645666189e+001
1.10072150831174e+000,-2.29290141499331e+001
1.10104960598896e+000,-2.29260639320298e+001
1.10137780146393e+000,-2.29231139128328e+001
1.10170609476580e+000,-2.29201640922657e+001
1.10203448592374e+000,-2.29172144702522e+001
1.10236297496690e+000,-2.29142650467162e+001
1.10269156192446e+000,-2.29113158215814e+001
1.10302024682562e+000,-2.29083667947715e+001
1.10334902969956e+000,-2.29054179662104e+001
1.10367791057549e+000,-2.29024693358219e+001
1.10400688948263e+000,-2.28995209035298e+001
1.10433596645018e+000,-2.28965726692580e+001
1.10466514150739e+000,-2.28936246329305e+001
1.10499441468348e+000,-2.28906767944710e+001
1.10532378600771e+000,-2.28877291538036e+001
1.10565325550933e+000,-2.28847817108521e+001
1.10598282321761e+000,-2.28818344655406e+001
1.10631248916182e+000,-2.28788874177931e+001
1.10664225337124e+000,-2.28759405675334e+001
1.10697211587515e+000,-2.28729939146858e+001
1.10730207670287e+000,-2.28700474591742e+001
1.10763213588370e+000,-2.28671012009227e+001
1.10796229344695e+000,-2.28641551398554e+001
1.10829254942195e+000,-2.28612092758963e+001
1.10862290383803e+000,-2.28582636089698e+001
1.10895335672454e+000,-2.28553181389997e+001
1.10928390811083e+000,-2.28523728659105e+001
1.10961455802625e+000,-2.28494277896262e+001
1.10994530650019e+000,-2.28464829100710e+001
1.11027615356201e+000,-2.28435382271693e+001
1.11060709924110e+000,-2.28405937408452e+001
1.11093814356686e+000,-2.28376494510231e+001
1.11126928656869e+000,-2.28347053576271e+001
1.11160052827601e+000,-2.28317614605818e+001
1.11193186871823e+000,-2.28288177598113e+001
1.11226330792479e+000,-2.28258742552400e+001
1.11259484592512e+000,-2.28229309467923e+001
1.11292648274868e+000,-2.28199878343927e+001
1.11325821842492e+000,-2.28170449179655e+001
1.11359005298330e+000,-2.28141021974352e+001
1.11392198645331e+000,-2.28111596727262e+001
1.11425401886441e+000,-2.28082173437630e+001
1.11458615024612e+000,-2.28052752104702e+001
1.11491838062792e+000,-2.28023332727722e+001
1.11525071003932e+000,-2.27993915305935e+001
1.11558313850985e+000,-2.27964499838589e+001
1.11591566606903e+000,-2.27935086324928e+001
1.11624829274639e+000,-2.27905674764198e+001
1.11658101857149e+000,-2.27876265155646e+001
1.11691384357387e+000,-2.27846857498518e+001
1.11724676778310e+000,-2.27817451792061e+001
1.11757979122874e+000,-2.27788048035522e+001
1.11791291394039e+000,-2.27758646228148e+001
1.11824613594762e+000,-2.27729246369186e+001
1.11857945728003e+000,-2.27699848457884e+001
1.11891287796724e+000,-2.27670452493490e+001
1.11924639803885e+000,-2.27641058475251e+001
1.11958001752449e+000,-2.27611666402415e+001
1.11991373645379e+000,-2.27582276274232e+001
1.12024755485640e+000,-2.27552888089949e+001
1.12058147276196e+000,-2.27523501848815e+001
1.12091549020014e+000,-2.27494117550080e+001
1.12124960720060e+000,-2.27464735192992e+001
1.12158382379301e+000,-2.27435354776801e+001
1.12191814000708e+000,-2.27405976300757e+001
1.12225255587248e+000,-2.27376599764109e+001
1.12258707141893e+000,-2.27347225166107e+001
1.12292168667613e+000,-2.27317852506002e+001
1.12325640167381e+000,-2.27288481783045e+001
1.12359121644170e+000,-2.27259112996485e+001
1.12392613100954e+000,-2.27229746145574e+001
1.12426114540706e+000,-2.27200381229563e+001
1.12459625966404e+000,-2.27171018247703e+001
1.12493147381024e+000,-2.27141657199245e+001
1.12526678787543e+000,-2.27112298083442e+001
1.12560220188939e+000,-2.27082940899545e+001
1.12593771588192e+000,-2.27053585646807e+001
1.12627332988282e+000,-2.27024232324480e+001
1.12660904392190e+000,-2.26994880931816e+001
1.12694485802897e+000,-2.26965531468069e+001
1.12728077223386e+000,-2.26936183932491e+001
1.12761678656642e+000,-2.26906838324335e+001
1.12795290105649e+000,-2.26877494642855e+001
1.12828911573391e+000,-2.26848152887305e+001
1.12862543062857e+000,-2.26818813056939e+001
1.12896184577031e+000,-2.26789475151010e+001
1.12929836118904e+000,-2.26760139168772e+001
1.12963497691463e+000,-2.26730805109481e+001
1.12997169297700e+000,-2.26701472972392e+001
1.13030850940603e+000,-2.26672142756758e+001
1.13064542623166e+000,-2.26642814461835e+001
1.13098244348381e+000,-2.26613488086879e+001
1.13131956119241e+000,-2.26584163631144e+001
1.13165677938740e+000,-2.26554841093888e+001
1.13199409809874e+000,-2.26525520474366e+001
1.13233151735639e+000,-2.26496201771833e+001
1.13266903719033e+000,-2.26466884985547e+001
1.13300665763052e+000,-2.26437570114765e+001
1.13334437870696e+000,-2.26408257158742e+001
1.13368220044964e+000,-2.26378946116736e+001
1.13402012288857e+000,-2.26349636988005e+001
1.13435814605378e+000,-2.26320329771806e+001
1.13469626997527e+000,-2.26291024467396e+001
1.13503449468308e+000,-2.26261721074034e+001
1.13537282020726e+000,-2.26232419590978e+001
1.13571124657785e+000,-2.26203120017485e+001
1.13604977382492e+000,-2.26173822352816e+001
1.13638840197853e+000,-2.26144526596228e+001
1.13672713106877e+000,-2.26115232746980e+001
1.13706596112571e+000,-2.26085940804333e+001
1.13740489217946e+000,-2.26056650767544e+001
1.13774392426011e+000,-2.26027362635875e+001
1.13808305739779e+000,-2.25998076408584e+001
1.13842229162262e+000,-2.25968792084932e+001
1.13876162696472e+000,-2.25939509664179e+001
1.13910106345423e+000,-2.25910229145586e+001
1.13944060112132e+000,-2.25880950528414e+001
1.13978023999613e+000,-2.25851673811923e+001
1.14011998010883e+000,-2.25822398995375e+001
1.14045982148960e+000,-2.25793126078031e+001
1.14079976416862e+000,-2.25763855059153e+001
1.14113980817610e+000,-2.25734585938002e+001
1.14147995354223e+000,-2.25705318713841e+001
1.14182020029722e+000,-2.25676053385932e+001
1.14216054847130e+000,-2.25646789953537e+001
1.14250099809470e+000,-2.25617528415920e+001
1.14284154919765e+000,-2.25588268772342e+001
1.14318220181041e+000,-2.25559011022068e+001
1.14352295596323e+000,-2.25529755164361e+001
1.14386381168638e+000,-2.25500501198484e+001
1.14420476901013e+000,-2.25471249123701e+001
1.14454582796478e+000,-2.25441998939276e+001
1.14488698858061e+000,-2.25412750644474e+001
1.14522825088792e+000,-2.25383504238558e+001
1.14556961491703e+000,-2.25354259720794e+001
1.14591108069826e+000,-2.25325017090447e+001
1.14625264826194e+000,-2.25295776346781e+001
1.14659431763840e+000,-2.25266537489062e+001
1.14693608885800e+000,-2.25237300516556e+001
1.14727796195109e+000,-2.25208065428528e+001
1.14761993694804e+000,-2.25178832224244e+001
1.14796201387922e+000,-2.25149600902971e+001
1.14830419277501e+000,-2.25120371463976e+001
1.14864647366582e+000,-2.25091143906524e+001
1.14898885658204e+000,-2.25061918229883e+001
1.14933134155408e+000,-2.25032694433319e+001
1.14967392861236e+000,-2.25003472516101e+001
1.15001661778732e+000,-2.24974252477495e+001
1.15035940910939e+000,-2.24945034316771e+001
1.15070230260902e+000,-2.24915818033194e+001
1.15104529831666e+000,-2.24886603626035e+001
1.15138839626278e+000,-2.24857391094560e+001
1.15173159647786e+000,-2.24828180438040e+001
1.15207489899238e+000,-2.24798971655743e+001
1.15241830383683e+000,-2.24769764746937e+001
1.15276181104172e+000,-2.24740559710893e+001
1.15310542063755e+000,-2.24711356546879e+001
1.15344913265485e+000,-2.24682155254167e+001
1.15379294712414e+000,-2.24652955832025e+001
1.15413686407597e+000,-2.24623758279724e+001
1.15448088354087e+000,-2.24594562596534e+001
1.15482500554942e+000,-2.24565368781727e+001
1.15516923013217e+000,-2.24536176834572e+001
1.15551355731969e+000,-2.24506986754342e+001
1.15585798714258e+000,-2.24477798540307e+001
1.15620251963142e+000,-2.24448612191739e+001
1.15654715481682e+000,-2.24419427707910e+001
1.15689189272939e+000,-2.24390245088092e+001
1.15723673339974e+000,-2.24361064331557e+001
1.15758167685852e+000,-2.24331885437578e+001
1.15792672313635e+000,-2.24302708405427e+001
1.15827187226389e+000,-2.24273533234378e+001
1.15861712427179e+000,-2.24244359923702e+001
1.15896247919072e+000,-2.24215188472675e+001
1.15930793705135e+000,-2.24186018880569e+001
1.15965349788436e+000,-2.24156851146658e+001
1.15999916172046e+000,-2.24127685270217e+001
1.16034492859034e+000,-2.24098521250519e+001
1.16069079852472e+000,-2.24069359086839e+001
1.16103677155432e+000,-2.24040198778452e+001
1.16138284770986e+000,-2.24011040324633e+001
1.16172902702208e+000,-2.23981883724657e+001
1.16207530952174e+000,-2.23952728977799e+001
1.16242169523960e+000,-2.23923576083335e+001
1.16276818420641e+000,-2.23894425040541e+001
1.16311477645295e+000,-2.23865275848692e+001
1.16346147201002e+000,-2.23836128507066e+001
1.16380827090840e+000,-2.23806983014939e+001
1.16415517317889e+000,-2.23777839371587e+001
