Freq,Magnitude_dB,Angle_deg
1,-21.1334557319,-58.9699654518909
1.02329299228075,-20.8711046708251,-59.6641773148563
1.0471285480509,-20.6107673680817,-60.3549417956714
1.07151930523761,-20.3524107769183,-61.0420756412587
1.09647819614318,-20.0960008553124,-61.7254083838182
1.12201845430196,-19.8415026846053,-62.4047825271564
1.14815362149688,-19.5888805875807,-63.0800536804958
1.17489755493953,-19.3380982454519,-63.751090639222
1.20226443461741,-19.0891188131922,-64.4177754164348
1.23026877081238,-18.8419050325923,-65.0800032256596
1.25892541179417,-18.5964193428116,-65.737682418103
1.28824955169313,-18.3526239875346,-66.3907343791769
1.31825673855641,-18.1104811189857,-67.0390933830692
1.34896288259165,-17.869952897824,-67.682706412488
1.38038426460288,-17.6310015891221,-68.321532944243
1.41253754462275,-17.3935896541134,-68.955544703546
1.44543977074593,-17.1576798372953,-69.5847253929309
1.47910838816821,-16.9232352490723,-70.20907039567
1.51356124843621,-16.6902194437459,-70.8285864574111
1.54881661891248,-16.4585964927753,-71.4432913515448
1.58489319246111,-16.228331053318,-72.053213527065
1.62181009735893,-15.9993884322332,-72.6583917446702
1.65958690743756,-15.7717346453319,-73.2588747027639
1.69824365246174,-15.5453364723331,-73.8547206545316
1.73780082874937,-15.3201615073198,-74.4459970210365
1.77827941003892,-15.0961782050801,-75.0327799991683
1.81970085860998,-14.8733559232506,-75.6151541688153
1.86208713666287,-14.6516649608419,-76.1932120999576
1.90546071796325,-14.4310765927895,-76.7670539607401
1.94984459975804,-14.2115631011823,-77.3367871291752
1.99526231496888,-13.9930978032403,-77.9025258087949
2.04173794466953,-13.7756550760847,-78.4643906485938
2.08929613085404,-13.559210378794,-79.0225083701192
2.13796208950223,-13.3437402716624,-79.5770114005342
2.18776162394955,-13.1292224331591,-80.1280375127719
2.23872113856834,-12.9156356745268,-80.6757294743533
2.29086765276777,-12.702959952462,-81.2202347025636
2.34422881531992,-12.4911763798313,-81.7617049292917
2.39883291901949,-12.2802672348092,-82.3002958731949
2.45470891568503,-12.070215968579,-82.8361669203016
2.51188643150958,-11.8610072115738,-83.3694808123848
2.57039578276886,-11.6526267787064,-83.9004033436514
2.63026799189538,-11.4450616735663,-84.4291030643877
2.69153480392691,-11.238300091708,-84.9557509918248
2.75422870333816,-11.0323314232602,-85.4805203281322
2.81838293126445,-10.8271462549476,-86.0035861834484
2.8840315031266,-10.6227363714036,-86.5251253063184
2.95120922666638,-10.4190947563878,-87.0453158169949
3.01995172040201,-10.2162155933669,-87.5643369470355
3.09029543251359,-10.0140942659677,-88.0823687815506
3.16227766016837,-9.81272735821787,-88.5995920044147
3.23593656929628,-9.61211265456852,-89.1161876467619
3.31131121482591,-9.41224913980405,-89.6323368355361
3.38844156139202,-9.21313699885918,-90.1482205443487
3.46736850452531,-9.0147776165003,-90.6640193435456
3.54813389233575,-8.81717357684069,-91.1799131497965
3.63078054770101,-8.62032866288319,-91.696080974112
3.71535229097172,-8.42424785575871,-92.2127006684167
3.8018939632056,-8.22893733383764,-92.7299486679762
3.8904514499428,-8.0344044715589,-93.2479997314645
3.98107170553496,-7.84065783800699,-93.7670266759067
4.07380277804112,-7.64770719501838,-94.2872001073566
4.16869383470335,-7.45556349488645,-94.8086881453703
4.26579518801592,-7.26423887743193,-95.3316561417648
4.36515832240165,-7.07374666638878,-95.8562663929772
4.46683592150962,-6.88410136503725,-96.3826778445112
4.57088189614874,-6.6953186508257,-96.9110457888536
4.67735141287197,-6.50741536890144,-97.4415215545955
4.78630092322637,-6.32040952439804,-97.9742521882935
4.89778819368445,-6.13432027337568,-98.5093801272972
5.01187233627271,-5.94916791202287,-99.047042864609
5.12861383991364,-5.76497386422697,-99.5873726052593
5.24807460249771,-5.58176066713303,-100.130495914493
5.37031796370252,-5.39955195442938,-100.676533357868
5.49540873857623,-5.21837243743115,-101.225599133698
5.62341325190348,-5.03824788350547,-101.77780069816
5.75439937337156,-4.85920509161265,-102.333238384566
5.88843655355588,-4.68127186507124,-102.892005015931
6.02559586074356,-4.50447698081731,-103.454185513592
6.16595001861481,-4.32885015547616,-104.019856501887
6.30957344480192,-4.15442200769063,-104.589085910158
6.45654229034654,-3.98122401663923,-105.161932574165
6.60693448007594,-3.80928847654089,-105.738445838336
6.7608297539198,-3.638648447026,-106.318665159809
6.91830970918935,-3.46933769905289,-106.902619717776
7.07945784384136,-3.30139065648452,-107.490328028835
7.24435960074988,-3.13484233297825,-108.081797571577
7.41310241300916,-2.96972826425905,-108.677024422501
7.58577575029182,-2.80608443560686,-109.275992905813
7.7624711662869,-2.64394720465242,-109.878675260331
7.94328234724279,-2.48335321937378,-110.485031325785
8.12830516164097,-2.32433933146366,-111.095008251854
8.31763771102669,-2.16694250504026,-111.708540232954
8.51138038202374,-2.01119972096351,-112.325548271773
8.70963589956078,-1.85714787685041,-112.945939974834
8.91250938133743,-1.7048236831294,-113.569609382841
9.12010839355907,-1.55426355533185,-114.196436839615
9.33254300796988,-1.4055035029858,-114.826288901528
9.54992586021433,-1.25857901560946,-115.459018291274
9.77237220955808,-1.11352494610096,-116.094463898052
9.99999999999997,-0.970375392137673,-116.732450826875
10.2329299228075,-0.829163576088117,-117.372790499102
10.471285480509,-0.689921724119902,-118.015280806114
10.715193052376,-0.552680944938603,-118.659706317857
10.9647819614318,-0.417471109156184,-119.305838546964
11.2201845430196,-0.284320729616244,-119.953436270089
11.4815362149688,-0.153256843790324,-120.602245905602
11.7489755493953,-0.0243048987280841,-121.25200194859
12.0226443461741,0.102511360594312,-121.902427461701
12.3026877081238,0.227169998661351,-122.553234621085
12.5892541179416,0.349650992005858,-123.204125315552
12.8824955169313,0.469936325960366,-123.85479179657
13.182567385564,0.588010085202636,-124.504917376627
13.4896288259165,0.703858537061935,-125.154177172496
13.8038426460288,0.817470207247211,-125.802238889565
14.1253754462275,0.928835947306331,-126.44876364322
14.4543977074592,1.03794899318717,-127.093406812445
14.791083881682,1.1448050147401,-127.735818920875
15.135612484362,1.24940215546593,-128.375646539695
15.4881661891248,1.35174106248988,-129.012533207153
15.8489319246111,1.45182490644497,-129.6461203587
16.2181009735892,1.5496593911885,-130.276048261895
16.5958690743755,1.64525275329137,-130.901956950467
16.9824365246174,1.73861575147731,-131.523487151227
17.3780082874937,1.82976164614289,-132.140281198265
17.7827941003892,1.91870616909925,-132.75198392897
18.1970085860998,2.00546748417819,-133.358243555963
18.6208713666286,2.09006613874295,-133.958712510499
19.0546071796324,2.17252500698048,-134.553048252015
19.4984459975804,2.25286922523853,-135.140914039906
19.9526231496887,2.33112612027713,-135.721979663371
20.4173794466952,2.40732513086254,-136.295922126019
20.8929613085403,2.48149772371488,-136.8624262823
21.3796208950222,2.55367730423711,-137.421185423379
21.8776162394954,2.62389912307321,-137.97190181071
22.3872113856833,2.69220017911913,-138.51428715582
22.9086765276776,2.75861911972204,-139.048063045762
23.4422881531991,2.82319613908181,-139.572961313792
23.9883291901948,2.88597287527654,-140.088724355751
24.5470891568502,2.94699230701164,-140.595105392739
25.1188643150957,3.0062986504749,-141.091868681332
25.7039578276885,3.06393725717901,-141.578789672984
26.3026799189537,3.11995451329661,-142.055655124512
26.915348039269,3.17439774121399,-142.522263162151
27.5422870333815,3.22731510367992,-142.978423301604
28.1838293126444,3.27875551112815,-143.423956427031
28.8403150312659,3.32876853251326,-143.858694732065
29.5120922666637,3.37740431021413,-144.282481626113
30.19951720402,3.42471347904122,-144.695171609105
30.9029543251358,3.4707470899195,-145.096630118444
31.6227766016837,3.51555653814272,-145.486733351311
32.3593656929627,3.55919349667137,-145.865368066011
33.113112148259,3.601709854272,-146.2324313658
33.8844156139201,3.64315765879012,-146.587830468555
34.673685045253,3.68358906541644,-146.93148246567
35.4813389233574,3.72305629003567,-147.263314073419
36.30780547701,3.7616115674772,-147.583261379969
37.1535229097171,3.79930711456605,-147.89126959087
38.0189396320559,3.83619509796136,-148.187292776138
38.9045144994279,3.87232760643267,-148.471293621363
39.8107170553495,3.90775662750341,-148.743243185564
40.7380277804111,3.94253402818061,-149.003120668075
41.6869383470333,3.9767115394773,-149.250913186612
42.6579518801591,4.01034074461405,-149.486615568602
43.6515832240164,4.04347307044556,-149.710230157596
44.6683592150961,4.07615978187276,-149.921766636329
45.7088189614873,4.10845197902303,-150.121241868021
46.7735141287196,4.14040059670434,-150.308679757108
47.8630092322636,4.17205640597613,-150.484111130649
48.9778819368444,4.20347001734576,-150.647573641176
50.118723362727,4.23469188537456,-150.799111691969
51.2861383991362,4.2657723142641,-150.938776385219
52.480746024977,4.29676146411481,-151.066625493556
53.703179637025,4.3277093574454,-151.182723455277
54.9540873857622,4.35866588569024,-151.287141393299
56.2341325190346,4.38968081530041,-151.37995715785
57.5439937337154,4.4208037929935,-151.461255392617
58.8843655355586,4.45208434996444,-151.531127624096
60.2559586074355,4.48357190457371,-151.589672373337
61.6595001861479,4.5153157632146,-151.636995289683
63.095734448019,4.54736511899783,-151.673209305407
64.5654229034652,4.57976904793271,-151.698434810143
66.0693448007593,4.61257650224576,-151.7127998441
67.6082975391978,4.64583630054249,-151.716440308376
69.1830970918933,4.67959711455605,-151.709500191035
70.7945784384134,4.7139074519259,-151.692131806791
72.4435960074986,4.74881563512574,-151.664496048835
74.1310241300914,4.78436977591171,-151.626762650203
75.857757502918,4.82061774524406,-151.579110452608
77.6247116628688,4.85760713838017,-151.521727680104
79.4328234724277,4.89538523498,-151.454812215005
81.2830516164095,4.93399895392773,-151.378571873001
83.1763771102667,4.97349480298575,-151.293224674653
85.1138038202372,5.01391882281497,-151.198999109979
87.0963589956076,5.05531652562911,-151.096134392765
89.1250938133741,5.09773282825672,-150.984880701224
91.2010839355905,5.14121197957344,-150.865499401404
93.3254300796986,5.18579748263322,-150.738263249759
95.4992586021431,5.23153201128947,-150.603456571077
97.7237220955805,5.27845732167497,-150.461375408114
99.9999999999995,5.32661415860994,-150.312327639167
102.329299228075,5.37604215743226,-150.156633059906
104.712854805089,5.42677974126797,-149.994623425762
107.15193052376,5.47886401435897,-149.826642451495
109.647819614318,5.53233065184398,-149.653045764332
112.201845430196,5.58721378641235,-149.47420080789
114.815362149688,5.64354589251054,-149.290486693458
117.489755493952,5.70135766850984,-149.102293996345
120.226443461741,5.76067791776068,-148.910024494886
123.026877081237,5.82153342902691,-148.714090850074
125.892541179416,5.88394885708347,-148.514916224284
128.824955169313,5.94794660436099,-148.312933837958
131.82567385564,6.01354670422338,-148.108586463704
134.896288259165,6.08076670704101,-147.902325857623
138.038426460288,6.14962156949694,-147.694612128106
141.253754462275,6.22012354829302,-147.485913043182
144.543977074592,6.29228209891721,-147.276703277989
147.91083881682,6.36610378034363,-147.067463603917
151.35612484362,6.44159216650966,-146.858680022669
154.881661891247,6.51874776515854,-146.650842847529
158.48931924611,6.59756794502433,-146.444445736102
162.181009735892,6.67804687188269,-146.239984678094
165.958690743755,6.76017545400106,-146.037956942849
169.824365246173,6.84394129773115,-145.83885999135
173.780082874936,6.92932867354088,-145.643190357889
177.827941003891,7.01631849305402,-145.451442506947
181.970085860997,7.10488829721422,-145.264107670918
186.208713666286,7.19501225596153,-145.081672674325
190.546071796323,7.2866611795794,-144.904618750777
194.984459975803,7.3798025415509,-144.733420358184
199.526231496887,7.47440051326381,-144.568543998584
204.173794466952,7.57041601015617,-144.410447047862
208.929613085403,7.66780674926641,-144.259576601508
213.796208950222,7.76652731792065,-144.116368341356
218.776162394954,7.86652925324401,-143.981245428957
223.872113856832,7.96776113208893,-143.854617430063
229.086765276776,8.07016867097037,-143.736879274961
234.422881531991,8.17369483560679,-143.628410258878
239.883291901947,8.27827995939196,-143.529573086336
245.470891568501,8.3838618704045,-143.440712962672
251.188643150956,8.49037602638996,-143.362156736294
257.039578276885,8.59775565689905,-143.294212093819
263.026799189536,8.70593191245018,-143.237166811075
269.15348039269,8.81483401961435,-143.19128806147
275.422870333815,8.92438944179294,-143.156821783883
281.838293126443,9.03452404492622,-143.13399211119
288.403150312659,9.14516226763662,-143.123000860834
295.120922666637,9.25622729519641,-143.124027088217
301.9951720402,9.36764123682061,-143.137226703881
309.029543251357,9.47932530560394,-143.162732154663
316.227766016836,9.59120000087556,-143.200652169842
323.593656929626,9.70318529205592,-143.251071571954
331.131121482589,9.81520080384039,-143.314051152972
338.8441561392,9.92716600212548,-143.389627615885
346.736850452529,10.0390003800171,-143.477813581447
354.813389233573,10.1506236437405,-143.578597660536
363.078054770099,10.2619558976675,-143.691944591806
371.53522909717,10.372917828126,-143.817795444474
380.189396320558,10.483430885484,-143.956067886266
389.045144994278,10.5934174639216,-144.106656515937
398.107170553494,10.7028010784564,-144.26943326015
407.38027780411,10.8115065385629,-144.444247834114
416.869383470332,10.9194601180448,-144.630928265265
426.579518801589,11.0265897203253,-144.829281478973
436.515832240163,11.1328250387815,-145.039093945404
446.68359215096,11.2380977115265,-145.260132385827
457.088189614872,11.3423414698773,-145.492144537021
467.735141287195,11.4454922801067,-145.734859971497
478.630092322635,11.547488477845,-145.987990971544
489.778819368442,11.6482708943756,-146.251233454071
501.187233627268,11.7477829745274,-146.52426794365
512.861383991361,11.8459708853547,-146.806760589914
524.807460249769,11.9427836152588,-147.098364225844
537.031796370249,12.0381730629924,-147.398719462752
549.54087385762,12.1320941160319,-147.7074558172
562.341325190345,12.2245047181298,-148.024192865485
575.439937337152,12.3153659254116,-148.348541420049
588.843655355584,12.4046419510662,-148.680104722778
602.559586074353,12.4923001981932,-149.018479649385
616.595001861477,12.5783112806998,-149.363257919073
630.957344480188,12.6626490324342,-149.714027303681
645.65422903465,12.7452905042323,-150.070372830146
660.693448007591,12.8262159492848,-150.431877970451
676.082975391976,12.9054087969382,-150.798125813139
691.830970918931,12.9828556151414,-151.168700210422
707.945784384132,13.0585460620183,-151.543186895638
724.435960074984,13.132472826987,-151.921174565366
741.310241300911,13.2046315619173,-152.302255921441
758.577575029177,13.2750208028832,-152.686028668046
776.247116628685,13.3436418832866,-153.072096459771
794.328234724275,13.4104988389086,-153.460069796692
812.830516164092,13.475598305754,-153.849566863334
831.763771102664,13.5389494113923,-154.240214308554
851.138038202369,13.6005636605693,-154.631647964151
870.963589956073,13.6604548161285,-155.023513500532
891.250938133738,13.7186387757687,-155.415467018056
912.010839355902,13.7751334456997,-155.807175573556
933.254300796983,13.8299586119853,-156.198317641822
954.992586021428,13.8831358102462,-156.588583512369
977.237220955802,13.9346881946484,-156.977675622329
999.999999999991,13.9846404069404,-157.365308826767
1023.29299228075,14.0330184461023,-157.751210608024
1047.12854805089,14.0798495393454,-158.135121226114
1071.5193052376,14.1251620152173,-158.516793812586
1096.47819614318,14.1689851791642,-158.895994410432
1122.01845430195,14.211349192168,-159.272501962961
1148.15362149687,14.2522849529853,-159.646108254644
1174.89755493952,14.2918239842839,-160.01661780719
1202.2644346174,14.3299983230977,-160.383847734207
1230.26877081237,14.3668404158381,-160.747627557757
1258.92541179416,14.4023830181994,-161.107798990328
1288.24955169312,14.4366591000308,-161.464215685581
1318.2567385564,14.4697017554255,-161.816742961293
1348.96288259164,14.5015441180729,-162.165257497823
1380.38426460287,14.5322192818812,-162.509647015335
1412.53754462274,14.5617602269691,-162.849809932894
1445.43977074591,14.5901997509809,-163.185655012478
1479.10838816819,14.6175704055946,-163.51710099069
1513.56124843619,14.6439044382192,-163.844076200973
1548.81661891247,14.6692337387439,-164.166518188765
1584.8931924611,14.6935897911385,-164.484373322022
1621.81009735891,14.7170036298988,-164.797596399274
1659.58690743754,14.7395058009383,-165.106150257264
1698.24365246173,14.7611263269622,-165.41000537994
1737.80082874936,14.781894677027,-165.709139510543
1778.27941003891,14.8018397400297,-166.003537268229
1819.70085860997,14.8209898019789,-166.293189770596
1862.08713666285,14.8393725268647,-166.578094263253
1905.46071796323,14.8570149408805,-166.858253757474
1949.84459975803,14.8739434196907,-167.133676676843
1995.26231496886,14.8901836787276,-167.404376513555
2041.73794466951,14.9057607660744,-167.670371495073
2089.29613085402,14.9206990580027,-167.931684261599
2137.96208950221,14.9350222566445,-168.188341554763
2187.76162394953,14.9487533899696,-168.440373917798
2238.72113856832,14.9619148135023,-168.687815407468
2290.86765276775,14.9745282139571,-168.930703317773
2344.2288153199,14.9866146143586,-169.169077915564
2398.83291901947,14.9981943805906,-169.402982187975
2454.70891568501,15.0092872293068,-169.63246160168
2511.88643150955,15.0199122368718,-169.857563873718
2570.39578276884,15.0300878493526,-170.078338753837
2630.26799189535,15.039831893349,-170.294837818055
2691.53480392689,15.04916158765,-170.50711427323
2754.22870333814,15.0580935554167,-170.715222772335
2818.38293126442,15.0666438369992,-170.919219240164
2884.03150312658,15.0748279031921,-171.11916070913
2951.20922666635,15.0826606688109,-171.315105164833
3019.95172040198,15.0901565065834,-171.507111401047
3090.29543251356,15.0973292612429,-171.69523888377
3162.27766016835,15.1041922637669,-171.879547624
3235.93656929625,15.1107583457043,-172.060098058851
3311.31121482588,15.1170398535188,-172.236950940667
3388.44156139199,15.123048662967,-172.410167233781
3467.36850452528,15.128796193261,-172.579808018541
3548.13389233572,15.1342934213872,-172.745934402294
3630.78054770097,15.1395508960119,-172.90860743695
3715.35229097168,15.1445787514126,-173.067888042807
3801.89396320557,15.1493867211244,-173.223836938341
