Freq,Magnitude_dB,Angle_deg
1,-23.8897548354864,-69.1240403438887
1.02329299228075,-23.6572174748227,-69.6970219732213
1.0471285480509,-23.4259815699698,-70.2643131775621
1.07151930523761,-23.1960101815333,-70.8259359488202
1.09647819614318,-22.9672669835422,-71.3819219559992
1.12201845430196,-22.7397163136211,-71.9323121712807
1.14815362149688,-22.5133232185305,-72.4771564927101
1.17489755493953,-22.2880534954216,-73.0165133644099
1.20226443461741,-22.0638737288831,-73.5504493971976
1.23026877081238,-21.8407513239846,-74.079038990371
1.25892541179417,-21.6186545357177,-74.6023639566915
1.28824955169313,-21.3975524944389,-75.1205131529785
1.31825673855641,-21.1774152284173,-75.6335821155153
1.34896288259165,-20.9582136827753,-76.1416727034442
1.38038426460288,-20.7399197356635,-76.6448927498938
1.41253754462275,-20.5225062118207,-77.143355721555
1.44543977074593,-20.3059468932673,-77.6371803887447
1.47910838816821,-20.0902165278898,-78.1264905049322
1.51356124843621,-19.8752908359697,-78.6114144965145
1.54881661891248,-19.6611465145835,-79.0920851643895
1.58489319246111,-19.4477612404299,-79.5686393955801
1.62181009735893,-19.2351136711499,-80.0412178864885
1.65958690743756,-19.0231834451077,-80.5099648773692
1.69824365246174,-18.811951180292,-80.9750278973834
1.73780082874937,-18.6013984718995,-81.4365575213808
1.77827941003892,-18.391507889326,-81.8947071366807
1.81970085860998,-18.182262972214,-82.3496327207651
1.86208713666287,-17.9736482261985,-82.8014926290805
1.90546071796325,-17.7656491179976,-83.2504473923702
1.94984459975804,-17.5582520702711,-83.6966595237283
1.99526231496888,-17.3514444563237,-84.140293334517
2.04173794466953,-17.1452145946887,-84.5815147583643
2.08929613085404,-16.9395517437129,-85.0204911836482
2.13796208950223,-16.7344460961777,-85.4573912930685
2.18776162394955,-16.529888774263,-85.892384910004
2.23872113856834,-16.3258718244907,-86.3256428516125
2.29086765276777,-16.1223882133311,-86.7573367868899
2.34422881531992,-15.9194318228386,-87.1876391005221
2.39883291901949,-15.716997446913,-87.6167227608165
2.45470891568503,-15.5150807880263,-88.0447611916216
2.51188643150958,-15.3136784543421,-88.4719281473659
2.57039578276886,-15.1127879574174,-88.8983975909266
2.63026799189538,-14.9124077105143,-89.3243435732162
2.69153480392691,-14.7125370274229,-89.7499401141342
2.75422870333816,-14.5131761218331,-90.1753610843937
2.81838293126445,-14.314326107537,-90.6007800868659
2.8840315031266,-14.1159889986775,-91.0263703381108
2.95120922666638,-13.9181677113132,-91.4523045476678
3.01995172040201,-13.7208660648709,-91.8787547963006
3.09029543251359,-13.5240887844873,-92.3058924112115
3.16227766016837,-13.3278415038801,-92.7338878380447
3.23593656929628,-13.1321307684288,-93.1629105095111
3.31131121482591,-12.9369640390453,-93.5931287088928
3.38844156139202,-12.7423496961192,-94.0247094291517
3.46736850452531,-12.5482970439549,-94.4578182259887
3.54813389233575,-12.3548163153732,-94.892619064735
3.63078054770101,-12.1619186766975,-95.3292741603393
3.71535229097172,-11.9696162325184,-95.767943810278
3.8018939632056,-11.7779220308775,-96.2087862189707
3.8904514499428,-11.5868500680267,-96.651957314283
3.98107170553496,-11.3964152933001,-97.0976105547083
4.07380277804112,-11.2066336134383,-97.5458967274358
4.16869383470335,-11.0175218967682,-97.9969637362926
4.26579518801592,-10.8290979766853,-98.4509563796564
4.36515832240165,-10.6413806543872,-98.9080161179218
4.46683592150962,-10.4543897010954,-99.3682808297763
4.57088189614874,-10.268145858934,-99.8318845578578
4.67735141287197,-10.0826708409675,-100.298957242773
4.78630092322637,-9.89798732965463,-100.769624446185
4.89778819368445,-9.71411897411808,-101.244007062252
5.01187233627271,-9.53109038545438,-101.722221018006
5.12861383991364,-9.34892713034191,-102.204376962603
5.24807460249771,-9.16765572250849,-102.690579945797
5.37031796370252,-8.98730361183547,-103.180929085968
5.49540873857623,-8.80789917113812,-103.67551722822
5.62341325190348,-8.62947168023638,-104.174430593128
5.75439937337156,-8.45205130673711,-104.677748417261
5.88843655355588,-8.27566908430111,-105.185542585673
6.02559586074356,-8.10035688693323,-105.697877258216
6.16595001861481,-7.92614740004544,-106.21480849042
6.30957344480192,-7.75307408777301,-106.736383850302
6.45654229034654,-7.58117115618509,-107.262642032952
6.60693448007594,-7.41047351226074,-107.793612474511
6.7608297539198,-7.24101671892429,-108.329314967076
6.91830970918935,-7.07283694508663,-108.869759277254
7.07945784384136,-6.90597091149983,-109.414944769976
7.24435960074988,-6.74045583163274,-109.964860040342
7.41310241300916,-6.5763293478439,-110.5194825559
7.58577575029182,-6.41362946270455,-111.078778312008
7.7624711662869,-6.25239446534151,-111.642701503308
7.94328234724279,-6.09266285299056,-112.211194213996
8.12830516164097,-5.93447324776481,-112.784186130083
8.31763771102669,-5.77786430860717,-113.361594276726
8.51138038202374,-5.62287463877086,-113.943322783757
8.70963589956078,-5.46954268882172,-114.529262682628
8.91250938133743,-5.31790665573562,-115.119291737782
9.12010839355907,-5.16800437780674,-115.713274315877
9.33254300796988,-5.01987322642739,-116.311061295401
9.54992586021433,-4.87354999459331,-116.912490020009
9.77237220955808,-4.72907078282855,-117.517384298012
9.99999999999997,-4.5864708829708,-118.125554450633
10.2329299228075,-4.44578466040879,-118.736797411214
10.471285480509,-4.30704543543817,-119.350896877306
10.715193052376,-4.17028536405565,-119.967623517313
10.9647819614318,-4.03553531955797,-120.58673523268
11.2201845430196,-3.90282477459169,-121.207977476803
11.4815362149688,-3.77218168568096,-121.831083630457
11.7489755493953,-3.64363237984681,-122.455775434114
12.0226443461741,-3.51720144479265,-123.081763476133
12.3026877081238,-3.3929116231505,-123.708747735827
12.5892541179416,-3.2707837114833,-124.336418179674
12.8824955169313,-3.15083646515541,-124.964455408328
13.182567385564,-3.03308650925238,-125.592531351863
13.4896288259165,-2.91754825664434,-126.220310009827
13.8038426460288,-2.80423383370442,-126.847448232403
14.1253754462275,-2.69315301413246,-127.473596538501
14.4543977074592,-2.58431316168973,-128.098399966079
14.791083881682,-2.4777191818625,-128.721498949854
15.135612484362,-2.37337348334931,-129.342530220894
15.4881661891248,-2.27127594914895,-129.961127722763
15.8489319246111,-2.17142391776644,-130.576923538319
16.2181009735892,-2.07381217462993,-131.18954882133
16.5958690743755,-1.97843295347489,-131.798634727148
16.9824365246174,-1.88527594792453,-132.40381333634
17.3780082874937,-1.79432833297701,-133.004718565626
17.7827941003892,-1.70557479595017,-133.600987060554
18.1970085860998,-1.61899757698395,-134.192259064297
18.6208713666286,-1.53457651816034,-134.778179257774
19.0546071796324,-1.45228912118237,-135.3583975661
19.4984459975804,-1.37211061267376,-135.932569927173
19.9526231496887,-1.29401401674759,-136.500359018466
20.4173794466952,-1.21797023411901,-137.061434938573
20.8929613085403,-1.14394812685511,-137.615475840642
21.3796208950222,-1.07191460837659,-138.162168515302
21.8776162394954,-1.0018347374842,-138.701208921304
22.3872113856833,-0.933671816047029,-139.232302662452
22.9086765276776,-0.867387489372512,-139.755165410227
23.4422881531991,-0.802941848496533,-140.26952327172
23.9883291901948,-0.74029353367253,-140.77511310326
24.5470891568502,-0.679399838221922,-141.271682770426
25.1188643150957,-0.620216812245504,-141.758991355635
25.7039578276885,-0.562699365341611,-142.236809314963
26.3026799189537,-0.506801367835757,-142.704918586103
26.915348039269,-0.452475749703624,-143.163112649914
27.5422870333815,-0.399674596972093,-143.611196548034
28.1838293126444,-0.34834924491785,-144.048986859462
28.8403150312659,-0.29845036776015,-144.476311639224
29.5120922666637,-0.249928064190342,-144.893010322331
30.19951720402,-0.202731938955672,-145.298933596268
30.9029543251358,-0.156811179599896,-145.693943245676
31.6227766016837,-0.112114628699736,-146.077911972449
32.3593656929627,-0.0685908510962715,-146.450723194899
33.113112148259,-0.0261881962507308,-146.812270829435
33.8844156139201,0.0151451446405294,-147.162459058086
34.673685045253,0.05546108631085,-147.501202085307
35.4813389233574,0.0948116022974535,-147.828423887261
36.30780547701,0.133248682822457,-148.144057956739
37.1535229097171,0.17082429717862,-148.448047046618
38.0189396320559,0.20759036123992,-148.740342914875
38.9045144994279,0.243598709080459,-149.02090607367
39.8107170553495,0.278901069203696,-149.289705545145
40.7380277804111,0.313549044798234,-149.546718626254
41.6869383470333,0.347594097636881,-149.79193066478
42.6579518801591,0.381087535797029,-150.02533484859
43.6515832240164,0.414080504604463,-150.246932009936
44.6683592150961,0.446623980426295,-150.456730446403
45.7088189614873,0.478768767340187,-150.654745760041
46.7735141287196,0.510565495997151,-150.841000715902
47.8630092322636,0.542064624673442,-151.015525121185
